name,city,street,opening_hours,phone,lat,lon
Државен архив на Северна Македонија,,,,,41.9968185,21.4343486
Германска читалница,Cкoпje,Булевар Гоце Делчев,Mo  We  Fr 11:00-14:30; Tu  Th 12:00-18:00; Sa[1] 11:00-15:00,,41.9981313,21.4393671
Американско катче Македонија,Cкoпje,Булевар Гоце Делчев,Mo-Fr 10:00-20:00; Sa 11:00-16:00,+389 2 3120020,41.9980573,21.4397823
Библиотека „Браќа Миладиновци“ - Карпош,Cкoпje,Иван Аговски,,,42.0027424,21.4120526
Илјада книги,Скопје,,,,41.9946963,21.4354639
Другарче,,,,,42.0036192,21.4004515
Архив на град Скопје,,Московска,,,42.0030932,21.3907447
Национална и универзитетска библиотека,Cкoпje,Булевар Гоце Делчев,,,41.9979496,21.439345
Гралска библиотека браќа миладиновци Скопје,Cкoпje,Булевар Партизански Одреди,,+389 2 3162 544,41.9997606,21.4201783
Библиотека „Браќа Миладиновци“,,,,,41.9997022,21.4202483
Браќа Миладиновци,,Виа Игнација,,,42.0064775,21.3614728
Факултетска библиотека и компјутерница,,,,,42.0029542,21.4587078
