name,city,street,opening_hours,phone,lat,lon
Бели Мурги,,,,,41.9880653,21.4158375
ООУ „Свети Климент Охридски“ - Бутел,,,,,42.0401876,21.445394
Музичко-балетско училиште „Илија Николовски - Луј“,,,,,41.9983639,21.4355617
Партенија Зографски,,,,,41.982566,21.4363017
о.у. „Гоце Делчев“,,,,,41.9930543,21.581798
Дом за Слепи,,,,,41.9757689,21.4411963
ИТ Академија Александрија,,,,,41.9967522,21.4073092
SH.F „ 25 Maji “,,,,,42.0126768,21.5104934
ДСУ  Никола Карев,,Никола Русински,,,42.0041882,21.4011992
Едукативен центар СОНЦЕ,,,,,41.9866117,21.4670763
ASM,,,,,42.0069742,21.3831677
ОУ Кирил и Медодиј,,,,,42.0279527,21.5133898
Helen Doron Kapistec,,,,,41.9914476,21.4174048
Casta Diva,,Васил Главинов,16:00-22:00,38923220205,41.9967891,21.4283169
Универзитет за туризам и менаџмент,,,,,42.0022668,21.398993
Deutsches Sprachzentrum,,Булевар Климент Охридски,,,42.0000789,21.4265771
ОУ Jохан Хајнрих Песталоци,,,,,41.9974458,21.4207761
ОУ Братство,,,,,42.0014174,21.3887245
ОУ Јан Амос Коменски,,,,,42.0007834,21.3940669
ОУ Коле Неделковски,,,,,42.0004114,21.420153
ОУ Вера Јоциќ,,,,,41.9951468,21.508095
ОУ Димо Хаџи Димов,,,,,42.0052377,21.373704
QSI International School of Skopje,,,,,42.0074543,21.4131199
ОУ Дане Крапчев,,,,,42.0036889,21.5029474
Средно медицинско,,,,,41.9907187,21.4229867
СГГУ Здравко Цветковски,,,,,42.0012335,21.4026117
ОУ Лазар Трповски,,,,,42.0062139,21.398325
Меѓународни Училишта НОВА (гимназија),Cкoпje,Прашка,,+389 2 3061 807,41.998682,21.3934916
ОУ „26 Јули“,,,,,42.0350555,21.4253708
Детска градинка Пролет 2,Скопје,Милан Марковиќ,,38923085701,41.9928542,21.4030947
ОУ Наум Наумовски Борче,,,,,41.9988671,21.4994041
СУГС Арсениј Јовков,,,,,42.0227827,21.44303
ОУ Адем Јашари,,,,,42.0111173,21.4380415
Ќемал Јахија,,,,,42.0300433,21.4411245
ПОУ Јахја Кемал,Cкoпje,Варшавска,,+389 2 3074168,42.0009715,21.3926854
О.У. Страшо Пинџур,,,,,42.0178598,21.3547045
Медиа Арт Студио,Cкoпje,Франклин Рузвелт,,,42.0002295,21.4129185
Средно уметничко училиште „Лазар Личеновски“,Cкoпje,Киро Крстевски Платник,,,41.995548,21.4207442
ОУ „Кузман Јосифовски - Питу “,Cкoпje,,,,41.9828558,21.4316583
ОУ „Кузман Јосифовски - Питу“,,,,,41.9869025,21.4323628
ОУ „Вера Циривири Трена“,Cкoпje,Руѓер Бошковиќ,,+38923068507;+38923073069,42.003633,21.4087699
О.У „Ацо Шопов“,,,,,42.0623645,21.4521691
ОУ „Браќа Миладиновци“,,,,,41.9913054,21.4512524
ОУ „Блаже Конески“,,,,,41.9867408,21.4499988
ОУ „Димитар Миладинов“,,,,,41.9892077,21.4347754
ОУ Глигор Прличев,Скопје,Гемиџиска,,,42.0146285,21.4588956
СУ Панче Арсовски,,,,,42.0061261,21.4645572
ОУ Владо Тасевски,,,,,41.9961947,21.395978
Средно угостителско училиште „Лазар Танев“,,,,+389 2 3085035;+389 2 3086292,41.9931939,21.3994474
ОУ Кирил и Методиј,,,,,41.9973785,21.4389267
ОУ Стив Наумов,,,,,42.0034816,21.4661397
ОУ 11-ти Октомври,,,,,41.9891872,21.4406175
СУГС „Раде Јовчевски - Корчагин“,,,,,41.9905733,21.4380717
СУГС Гимназија „Орце Николов“,Cкoпje,Булевар Илинден,,+389 2 3065 555,42.0061355,21.4124713
ОУ Цветан Димов,,Коста Абрашевиќ,,,42.0104452,21.4416559
ОУ Васил Главинов,,,,,42.0134211,21.4332456
СУГС Цветан Димов,,,,,42.0139402,21.4376104
ОУ Рајко Жинзифов,,,,,42.0196767,21.4335627
ОУ Петар Здравковски Пенко,,,,,42.0219663,21.4428671
Заводот за рехабилитација на деца и младинци “Топанско поле”,,,,,42.0230019,21.4354433
СУГС Зефљуш Марку,,,,,42.0243618,21.4350155
ОУ Панајот Гиновски,,,,,42.0208223,21.4517926
ОУ Лирија,,Булевар Цветан Димов,,,42.0085566,21.4444586
ОУ Тефјуз,,,,,42.0048655,21.4432037
ОУ Иднина,,Втора Македонска Бригада,,,42.0208292,21.4462027
ОУ Никола Вапцаров,,Браќа Реџепагиќ,,,42.0160487,21.4410866
ОУ Јашар Беј Шкупи,,Прохор Пчински,,,42.0052312,21.4362644
ОУ „Кочо Рацин “,,,,,41.9870488,21.4172215
ОУ Живко Брајковски,,,,,42.0309216,21.446902
ОУ Војдан Чернодрински,,,,,41.9987542,21.4101522
СУГС Георги Димитров,,,,,41.9997037,21.4019021
ОУ Христијан Тодоровски Карпош,,,,+389 (02) 3067-407,42.0042785,21.4131522
Центар за странски јазици,Cкoпje,,,+389 (0)2 306 77 83,42.0045613,21.4137621
Меѓународни Училишта НОВА (основно училиште),Cкoпje,Прашка,,+389 2 3061 807,41.9985982,21.3942521
ОУ Димитар Беровски,,,,,42.003117,21.3574814
СУГС Кочо Рацин,,,,,42.0043695,21.3638121
ОУ Партение Зографски,,,,,42.0029025,21.4817394
ОУ Климент Охридски,,,,,41.9305394,21.5262392
СУГС Браќа Миладиновци,,,,,41.9355621,21.5227727
ОУ Рајко Жинзифов,,,,,41.9409409,21.5099439
