name,addr:city,addr:street,opening_hours,phone,@lat,@lon
,,,,,42.0038552,21.4001835
,,,,,42.0038110,21.4009810
,,,,,42.0027762,21.3901152
,,,,,42.0026399,21.3911789
,,,,,42.0034185,21.3913742
,,,,,42.0035320,21.3903817
,,,,,41.9981394,21.4386602
,,,,,41.9979398,21.4389539
,,,,,41.9979285,21.4386176
,,,,,41.9978742,21.4389725
,,,,,41.9978852,21.4392989
,,,,,41.9976863,21.4393111
,,,,,41.9978906,21.4395470
,,,,,41.9979017,21.4398735
,,,,,41.9978332,21.4400724
,,,,,41.9999442,21.4203451
,,,,,41.9999558,21.4202873
,,,,,41.9999745,21.4200414
,,,,,41.9998271,21.4199881
,,,,,41.9999275,21.4202770
,,,,,41.9998190,21.4200283
,,,,,41.9997584,21.4200063
,,,,,41.9997670,21.4199632
,,,,,41.9996204,21.4199102
,,,,,41.9995928,21.4200485
,,,,,41.9995706,21.4200405
,,,,,41.9995495,21.4201464
,,,,,41.9995793,21.4201572
,,,,,41.9995467,21.4203204
,,,,,41.9998949,21.4204464
,,,,,41.9999171,21.4203353
,,,,,41.9981602,21.4400524
,,,,,41.9980227,21.4386960
,,,,,41.9976946,21.4395590
,,,,,41.9978266,21.4398781
,,,,,41.9980312,21.4389483
,,,,,42.0039141,21.4001975
,,,,,42.0033243,21.4007683
,,,,,42.0034357,21.3999221
,,,,,42.0033749,21.4008768
,,,,,42.0038758,21.4000270
,,,,,41.9999452,21.4205368
,,,,,41.9999221,21.4204886
,,,,,42.0000334,21.4199493
,,,,,41.9995101,21.4205139
,,,,,41.9996479,21.4206997
,,,,,41.9994828,21.4197436
,,,,,41.9996738,21.4205756
,,,,,41.9995446,21.4203483
,,,,,41.9993711,21.4202830
,,,,,41.9997897,21.4207531
,,,,,42.0066064,21.3613132
,,,,,42.0063083,21.3614118
,,,,,42.0063486,21.3616325
,,,,,42.0066467,21.3615339
,,,,,41.9397754,21.5127868
Државен архив на Северна Македонија,,,,,41.9968185,21.4343486
,,,,,41.9995605,21.4200910
,,,,,41.9994201,21.4200476
Германска читалница,Cкoпje,Булевар Гоце Делчев,Mo  We  Fr 11:00-14:30; Tu  Th 12:00-18:00; Sa[1] 11:00-15:00,,41.9981313,21.4393671
Американско катче Македонија,Cкoпje,Булевар Гоце Делчев,Mo-Fr 10:00-20:00; Sa 11:00-16:00,+389 2 3120020,41.9980573,21.4397823
,,,,,41.9977833,21.4386265
,,,,,41.9977951,21.4389773
,,,,,41.9979452,21.4386387
,,,,,41.9979473,21.4387006
,,,,,41.9980254,21.4386338
,,,,,41.9980265,21.4386671
,,,,,41.9981044,21.4394522
,,,,,41.9981154,21.4397755
,,,,,41.9981180,21.4398539
,,,,,41.9981490,21.4394495
,,,,,41.9981491,21.4389455
,,,,,41.9981534,21.4398517
,,,,,41.9981577,21.4392024
,,,,,41.9981596,21.4392593
,,,,,41.9982066,21.4392564
,,,,,41.9982130,21.4394456
,,,,,42.0033451,21.3902530
,,,,,42.0033896,21.3902688
,,,,,42.0029763,21.4586378
,,,,,42.0029267,21.4586413
,,,,,42.0029320,21.4587779
,,,,,42.0029817,21.4587743
,,,,,42.0032845,21.3902359
,,,,,42.0034238,21.3902863
,,,,,42.0034589,21.3903077
,,,,,42.0034920,21.3903359
,,,,,42.0035161,21.3903609
,,,,,42.0035397,21.3903996
,,,,,42.0035453,21.3904231
,,,,,42.0035466,21.3904550
,,,,,42.0034079,21.4008850
,,,,,42.0038631,21.4005855
,,,,,41.9998104,21.4206539
Библиотека „Браќа Миладиновци“ - Карпош,Cкoпje,Иван Аговски,,,42.0027424,21.4120526
Илјада книги,Скопје,,,,41.9946963,21.4354639
Другарче,,,,,42.0036192,21.4004515
Архив на град Скопје,,Московска,,,42.0030932,21.3907447
Национална и универзитетска библиотека,Cкoпje,Булевар Гоце Делчев,,,41.9979496,21.4393450
Гралска библиотека браќа миладиновци Скопје,Cкoпje,Булевар Партизански Одреди,,+389 2 3162 544,41.9997606,21.4201783
Библиотека „Браќа Миладиновци“,,,,,41.9997022,21.4202483
Браќа Миладиновци,,Виа Игнација,,,42.0064775,21.3614728
Факултетска библиотека и компјутерница,,,,,42.0029542,21.4587078
