name,addr:city,addr:street,opening_hours,phone,@lat,@lon
,,,,,42.0004578,21.4416599
,,,,,42.0012018,21.4421810
,,,,,42.0015480,21.4426383
,,,,,42.0016610,21.4432975
,,,,,42.0015929,21.4435411
,,,,,42.0011453,21.4448499
,,,,,42.0008657,21.4451795
,,,,,42.0006767,21.4453365
,,,,,42.0004458,21.4454825
,,,,,41.9996057,21.4453821
,,,,,41.9994007,21.4451251
,,,,,41.9990388,21.4445721
,,,,,41.9986513,21.4435925
,,,,,41.9987958,21.4424577
,,,,,41.9991981,21.4405397
,,,,,41.9998646,21.4403693
,,,,,41.9999028,21.4411093
,,,,,42.0000214,21.4414296
,,,,,42.0001696,21.4415547
,,,,,42.0052669,21.4058279
,,,,,42.0044248,21.4056171
,,,,,42.0051802,21.4064556
,,,,,42.0046886,21.4868299
,,,,,42.0026188,21.3356655
,,,,,42.0026445,21.3353157
,,,,,42.0023688,21.3352845
,,,,,42.0022063,21.3352450
,,,,,42.0019300,21.3351982
,,,,,42.0016416,21.3352340
,,,,,42.0015478,21.3352457
,,,,,42.0014553,21.3361311
,,,,,42.0014872,21.3371697
,,,,,42.0024818,21.3372395
,,,,,42.0026039,21.3360730
,,,,,42.0053196,21.4066027
,,,,,42.0043380,21.4062447
,,,,,42.0037526,21.4105069
,,,,,42.0051612,21.4108433
,,,,,42.0056123,21.4071510
,,,,,42.0054208,21.4058722
,,,,,42.0058499,21.4059795
,,,,,42.0057211,21.4069574
,,,,,42.0055752,21.4063983
,,,,,42.0055191,21.4068220
,,,,,42.0057178,21.4068696
,,,,,42.0057739,21.4064459
,,,,,42.0025191,21.4594243
,,,,,42.0020343,21.4594501
,,,,,42.0020343,21.4593900
,,,,,42.0015815,21.4593900
,,,,,42.0015815,21.4591840
,,,,,42.0017027,21.4591840
,,,,,42.0017027,21.4592441
,,,,,42.0019195,21.4592527
,,,,,42.0019195,21.4591840
,,,,,42.0019897,21.4591926
,,,,,42.0019897,21.4590038
,,,,,42.0020981,21.4590123
,,,,,42.0020917,21.4592098
,,,,,42.0021364,21.4592098
,,,,,42.0021364,21.4593042
,,,,,42.0025127,21.4592956
,,,,,41.9886720,21.4369217
,,,,,41.9888152,21.4379639
,,,,,41.9889347,21.4379061
,,,,,41.9800150,21.4254022
,,,,,41.9799752,21.4263857
,,,,,41.9792797,21.4269732
,,,,,41.9787702,21.4271197
,,,,,41.9783714,21.4274270
,,,,,41.9782780,21.4271858
,,,,,41.9786259,21.4256021
,,,,,41.9796573,21.4244497
,,,,,42.0021549,21.4517388
,,,,,42.0001128,21.4545155
,,,,,41.9998592,21.4532139
,,,,,42.0017530,21.4381019
,,,,,42.0016331,21.4376321
,,,,,42.0019179,21.4376706
,,,,,42.0015602,21.4378242
,,,,,42.0015926,21.4374454
,,,,,42.0015932,21.4379913
,,,,,42.0017014,21.4379213
,,,,,42.0017743,21.4377292
,,,,,42.0014277,21.4378768
,,,,,42.0002663,21.4454754
,,,,,41.9882596,21.4250535
,,,,,41.9887029,21.4246432
,,,,,41.9885866,21.4248859
,,,,,41.9885474,21.4248519
,,,,,41.9883196,21.4253138
,,,,,41.9883475,21.4252555
,,,,,41.9882170,21.4251423
,,,,,41.9884140,21.4251305
,,,,,41.9885637,21.4255254
,,,,,41.9883947,21.4251707
,,,,,41.9888231,21.4247474
,,,,,41.9997968,21.4183418
,,,,,41.9999039,21.4177906
,,,,,42.0001056,21.4178616
,,,,,41.9999985,21.4184128
,,,,,42.0004364,21.4179835
,,,,,42.0004080,21.4181232
,,,,,41.9999132,21.4186310
,,,,,41.9996382,21.4191537
,,,,,42.0004400,21.4190693
,,,,,42.0002464,21.4189401
,,,,,42.0001055,21.4188048
,,,,,42.0000507,21.4190854
,,,,,42.0002744,21.4179262
,,,,,42.0001653,21.4193554
,,,,,42.0000359,21.4194351
,,,,,42.0000588,21.4193177
,,,,,41.9999175,21.4192525
,,,,,41.9998918,21.4193842
,,,,,41.9998043,21.4189982
,,,,,42.0002470,21.4180663
,,,,,41.9997514,21.4185738
,,,,,42.0027172,21.4578330
,,,,,42.0021631,21.4576881
,,,,,42.0027162,21.4582908
,,,,,42.0020947,21.4594469
,,,,,42.0017405,21.4587235
,,,,,42.0017373,21.4584791
,,,,,42.0023335,21.4585644
,,,,,42.0021541,21.4584410
,,,,,42.0021900,21.4589828
,,,,,42.0021711,21.4586966
,,,,,42.0027202,21.4585108
,,,,,42.0023289,21.4578402
,,,,,42.0023265,21.4581119
,,,,,42.0023305,21.4582997
,,,,,42.0023534,21.4589721
,,,,,42.0025549,21.4578295
,,,,,42.0021565,21.4582371
,,,,,42.0023257,21.4576881
,,,,,42.0027122,21.4580816
,,,,,42.0029582,21.4548624
,,,,,42.0032406,21.4572829
,,,,,42.0045049,21.4599140
,,,,,42.0028967,21.4598696
,,,,,42.0027085,21.4537933
,,,,,42.0026692,21.4574035
,,,,,42.0004687,21.4569100
,,,,,42.0019756,21.4570283
,,,,,42.0010376,21.4597515
,,,,,42.0031270,21.4572663
,,,,,42.0028080,21.4573389
,,,,,42.0028047,21.4598068
,,,,,42.0031384,21.4560852
,,,,,42.0009208,21.4572034
,,,,,42.0035547,21.4578051
,,,,,42.0004749,21.4528305
,,,,,42.0033441,21.4501735
,,,,,42.0005012,21.4513414
,,,,,42.0027232,21.4491184
,,,,,42.0044372,21.4595858
,,,,,42.0043103,21.4592266
,,,,,42.0040736,21.4598707
,,,,,41.9988564,21.4410005
,,,,,42.0044778,21.4597827
Факултет за музичка уметност,,,,,41.9973091,21.4351329
,,,,,41.9933364,21.4094540
,,,,,41.9930394,21.4100682
,,,,,41.9928215,21.4104750
,,,,,41.9931550,21.4093092
,,,,,41.9926985,21.4103686
,,,,,41.9928261,21.4100790
,,,,,41.9932707,21.4095532
,,,,,41.9929776,21.4097222
,,,,,42.0003571,21.4058793
,,,,,41.9982928,21.3911159
,,,,,41.9985593,21.3891951
,,,,,41.9999664,21.3907239
,,,,,41.9986345,21.3891176
,,,,,41.9983080,21.3911714
,,,,,41.9985484,21.3892414
,,,,,41.9994749,21.3914934
,,,,,41.9995561,21.3909162
,,,,,41.9997671,21.3909600
,,,,,42.0001447,21.3894953
,,,,,42.0051661,21.4065639
,,,,,42.0004052,21.4183208
,,,,,42.0003109,21.4190237
,,,,,42.0001899,21.4193209
,,,,,42.0003439,21.4188892
,,,,,42.0006309,21.4180918
,,,,,42.0004421,21.4193517
,,,,,42.0005884,21.4187095
,,,,,42.0000322,21.4199334
,,,,,42.0004291,21.4180204
,,,,,42.0007554,21.4181726
,,,,,42.0003727,21.4185690
,,,,,42.0002311,21.4178900
,,,,,41.9998758,21.4177641
,,,,,42.0002941,21.4177427
,,,,,41.9994880,21.4197215
,,,,,41.9922662,21.4747274
,,,,,41.9928364,21.4748908
,,,,,41.9924347,21.4740851
,,,,,41.9931474,21.4747406
,,,,,41.9928224,21.4731436
,,,,,41.9935736,21.4736712
,,,,,41.9570252,21.5594555
,,,,,41.9549782,21.5567613
,,,,,41.9586695,21.5557401
,,,,,41.9791292,21.4249009
,,,,,41.9783725,21.4265042
,,,,,41.9784139,21.4263821
,,,,,41.9785574,21.4269684
,,,,,41.9788501,21.4252873
,,,,,41.9797257,21.4265830
,,,,,42.0321666,21.4521561
,,,,,42.0317681,21.4538942
,,,,,42.0314135,21.4535026
,,,,,42.0321427,21.4527677
,,,,,42.0319036,21.4520756
,,,,,42.0318313,21.4523070
,,,,,42.0319315,21.4530359
,,,,,42.0316207,21.4538620
,,,,,42.0316486,21.4535401
,,,,,42.0312740,21.4540658
,,,,,42.0304373,21.4538405
,,,,,42.0306445,21.4521990
,,,,,42.0009404,21.4419865
,,,,,42.0013050,21.4441339
,,,,,42.0017830,21.3352519
,,,,,42.0039464,21.4090996
,,,,,42.0019365,21.4567187
,,,,,42.0026138,21.4565020
,,,,,41.9590077,21.5588735
,,,,,41.9594035,21.5583880
